REP,block,ENTRY,T1,T2,T3,T4
1,1,28,146.8497,50.0473,33.3057,23.1716
2,1,28,168.4389,48.9834,39.7146,20.6863
3,1,28,160.5924,52.2285,41.1471,20.6419
4,1,28,142.9063,50.2399,33.7438,20.4115
1,1,29,152.923,43.3096,33.5034,18.9381
2,1,29,149.9307,51.4791,34.0254,15.6138
3,1,29,156.181,51.5442,31.4885,15.2618
4,1,29,155.0495,58.7751,28.4341,15.0636
1,1,30,162.8143,47.8524,34.2384,19.5935
2,1,30,172.8184,51.4844,38.2936,18.8493
3,1,30,153.7716,48.6862,35.9344,20.5303
4,1,30,174.2415,52.0371,39.696,19.6199
1,1,31,163.9975,54.1013,38.8383,22.2918
2,1,31,162.0191,45.1248,45.6052,24.5197
3,1,31,164.3771,43.5305,32.1457,27.4563
4,1,31,152.7624,51.1282,40.2488,25.6184
1,1,32,168.4462,46.8167,33.214,25.2515
2,1,32,165.8186,43.127,37.2975,28.702
3,1,32,163.1734,48.6103,36.5163,28.7012
4,1,32,158.4235,45.1053,33.7919,26.0859
1,1,33,174.2486,47.4565,34.7622,19.4525
2,1,33,152.7349,40.8719,35.8528,16.8167
3,1,33,170.9044,40.6068,33.8193,19.6503
4,1,33,165.5659,49.1669,34.4218,14.5968
1,1,34,163.8116,46.7024,32.545,23.6938
2,1,34,141.7589,48.2627,24.2564,22.2373
3,1,34,134.2192,44.5228,29.302,21.7332
4,1,34,141.4238,43.4217,33.3329,21.0876
1,1,35,183.9231,46.368,30.0828,23.3266
2,1,35,166.4845,47.1735,32.7091,20.424
3,1,35,158.235,45.6854,33.9469,22.2559
4,1,35,153.9797,43.3835,33.9708,19.735
1,1,36,185.6982,39.9827,33.3876,22.4012
2,1,36,164.9227,41.458,39.9288,18.9774
3,1,36,172.5766,36.6626,40.5661,21.9599
4,1,36,180.0217,37.342,31.4829,21.6557
1,1,37,145.5154,55.9471,43.1784,21.2266
2,1,37,165.558,48.7609,41.367,21.4942
3,1,37,139.6688,53.0804,39.2183,22.3414
4,1,37,146.6013,46.6838,33.3798,24.4479
1,1,38,181.7243,39.3744,35.2693,17.8932
2,1,38,159.1371,34.363,25.1958,20.9599
3,1,38,174.7423,46.2264,31.4008,19.7818
4,1,38,172.1825,36.6587,33.5068,15.8148
1,1,39,182.0843,44.8617,38.0514,18.165
2,1,39,164.2849,48.9286,37.6864,15.6196
3,1,39,162.6965,45.3998,28.8361,16.2609
4,1,39,162.8258,47.501,36.6417,17.2946
1,1,40,179.8694,49.1017,37.0345,20.5674
2,1,40,167.0214,47.2403,34.0817,19.5184
3,1,40,162.2798,49.9055,34.919,19.2732
