REP,Block,ENTRY,GY,EHT,PHT
1,17,52,2.9,68.3,161.2
1,17,54,5,77,159.8
1,17,69,3.6,72.2,145.8
1,17,97,2.6,78.5,171.7
1,17,121,2.2,77.5,172.5
1,17,124,3.1,80,169.7
1,17,196,4.5,75.8,161.2
1,17,216,2.9,83.8,174.2
1,18,55,2,82.8,189.5
1,18,79,3.4,76.8,179.2
1,18,93,2.9,87.3,184.2
1,18,104,3.4,90.3,198
1,18,112,2.4,90.2,174.7
1,18,128,2.4,82.8,166.5
1,18,132,2.4,98.8,199.8
1,18,152,1.2,87.8,181
1,18,188,3.4,92.7,199.5
1,18,223,2.6,87.7,178.8
1,19,2,3.4,67.7,156.5
1,19,23,1.7,82.3,168.2
1,19,36,3.7,59.7,148.7
1,19,74,3.5,91.3,181.2
1,19,115,1.7,95.2,184
1,19,119,2.8,88.7,176.5
1,19,201,2.7,84.5,180.8
1,19,214,3.8,92.3,176.8
1,19,236,3.2,81.2,170.7
1,19,238,2.4,70.3,158.5
1,20,38,2.9,97.2,194.7
1,20,53,3,99.2,187.5
1,20,83,2.7,82.3,181.8
1,20,102,4.6,86.3,173
1,20,114,2.7,96.5,192.2
1,20,189,2.2,89.5,171.5
1,20,205,2.7,80.2,178
1,20,232,2.7,89.3,198.3
1,20,242,2.2,89.3,177
1,21,14,1.2,85,174.8
1,21,60,1.6,84.3,186.3
1,21,86,3.6,99,187
1,21,105,1.8,74.3,154.8
1,21,138,2.4,76.3,160.8
1,21,161,1.9,101.6,195.4
1,21,172,1.7,82.2,164.7
1,21,190,2.9,96.2,181.5
1,21,228,2.6,96.2,183.2
1,21,231,2.7,84.3,174.3
1,22,61,2.9,95.7,184.8
1,22,66,2.9,85.2,175.3
1,22,81,2.5,67.3,154.5
1,22,156,2.4,80.5,161.3
1,22,171,2.7,88.8,171
1,22,183,1.7,80.2,164.3
1,22,191,3.2,87.3,165.3
1,22,199,2.3,94.2,187.3
1,22,217,4.6,77,165.3
1,22,247,3.5,82.8,170
1,23,8,2.4,84.7,175.7
1,23,29,1.2,86.5,179
1,23,43,1.2,81.2,160.3
1,23,44,0.7,86.3,170.2
1,23,80,2.5,85.7,181.7
1,23,153,2,80.7,168
1,23,170,1.2,83.7,183
1,23,175,3.1,87.2,174.5
1,23,194,2.2,90.2,179.7
1,23,222,2.6,96.8,196.8
1,24,21,1.9,87.8,185.7
1,24,22,2.2,83,160
1,24,45,2.9,74.5,152.3
1,24,48,2.2,85.2,173.5
1,24,88,2.2,74.8,163
1,24,122,1.5,81.5,165.5
1,24,154,1.4,79,184.3
1,24,166,2.9,97.3,180.3
1,24,167,2.8,84,173
1,24,225,4.3,81.7,158
1,25,11,2.5,93.7,187.3
1,25,15,3.3,98,195.7
1,25,20,2,84.3,183.3
1,25,56,2.4,85.3,192
1,25,90,2,88.5,190.3
1,25,147,2.2,83.7,180.7
