ENTRY,GY,PH,SD
(CML444/CML536)//CKDHL1715799,7.198997681,244.5550371,73.70369518
(CML444/CML536)//CKDHL1715800,6.908933111,247.3492298,76.31104667
(CML444/CML536)//CKDHL1715804,6.717416653,240.6188448,73.03458198
(CML444/CML536)//CKDHL1715807,7.306778643,247.8942005,73.83827076
(CML444/CML536)//CKDHL1715808,6.864636257,245.6858488,75.52180472
(CML444/CML536)//CKDHL1715809,7.169088904,251.8903663,73.02933221
(CML444/CML536)//CKDHL1715812,7.357686688,253.379363,72.55250503
(CML444/CML536)//CKDHL1715813,7.309414548,252.0575031,75.18135566
(CML444/CML536)//CKDHL1715814,6.845351411,244.8303666,72.62321679
(CML444/CML536)//CKDHL1715815,7.31006841,248.6542781,74.76702149
(CML444/CML536)//CKDHL1715818,6.712080685,241.0551453,73.77408209
(CML444/CML536)//CKDHL1715819,6.095630595,231.6512783,72.86786532
(CML444/CML536)//CKDHL1715820,7.178946076,246.8135126,73.04234555
(CML444/CML536)//CKDHL1715828,7.380175746,251.842188,74.39096237
(CML444/CML536)//CKDHL1715829,6.605511675,247.8663832,73.95405448
(CML444/CML536)//CKDHL1715830,7.455363459,241.2449731,74.55464776
(CML444/CML536)//CKDHL1715831,6.69332024,241.4588503,71.39989896
(CML444/CML536)//CKDHL1715832,7.094302434,235.9721889,71.98073582
(CML444/CML536)//CKDHL1715837,6.986649361,244.1005851,76.3716877
(CML444/CML536)//CKDHL1715839,7.385033987,241.0764858,75.70302485
(CML444/CML536)//CKDHL1715840,7.447700197,248.7371799,72.501456
(CML444/CML536)//CKDHL1715841,7.595437112,249.654648,77.08373482
(CML444/CML536)//CKDHL1715842,6.873836486,230.0657033,73.19010216
(CML444/CML536)//CKDHL1715843,6.990425326,256.5573298,77.44426996
(CML444/CML536)//CKDHL1715844,8.13491397,251.2058484,74.90292926
(CML444/CML536)//CKDHL1715846,6.446670838,238.1842294,73.50840353
(CML444/CML536)//CKDHL1715847,6.974255718,252.2188054,76.61195214
(CML444/CML536)//CKDHL1715848,7.784932217,251.3688075,74.99943375
(CML444/CML536)//CKDHL1715849,7.026856654,236.2273437,72.8783582
(CML444/CML536)//CKDHL1715850,7.443012127,250.5820717,75.43921468
(CML444/CML536)//CKDHL1715852,7.132184063,246.6180358,72.55419651
(CML444/CML536)//CKDHL1715853,7.581564263,245.4593326,73.33449436
(CML444/CML536)//CKDHL1715856,6.987084213,248.567388,72.94522459
(CML444/CML536)//CKDHL1715857,7.184880755,238.2848068,72.76785937
(CML444/CML536)//CKDHL1715861,7.189279274,246.5406558,73.39512998
(CML444/CML536)//CKDHL1715864,7.076155236,238.2970224,72.52226551
(CML444/CML536)//CKDHL1715866,7.224301649,243.8587018,74.46954526
